"location_name","joinpoint_model","aapc_index","start_obs","end_obs","aapc","aapc_c_i_low","aapc_c_i_high","statistically_significant_0_no_1_yes","test_statistic","p_value","p_value_label","legend","Year","Value","Label","Measure"
"Middle SDI",3,"2019.000-2021.000",2019,2021,-42.22,-44.72,-39.61,1,-25.806,0,"***","2019~2021
-42.22(-44.72~-39.61)***","2019~2021","-42.22 (-44.72~-39.61)","DALYs","Rate"
"Middle SDI",3,"1990.000-2019.000",1990,2019,-4.61,-4.85,-4.37,1,-36.823,0,"***","1990~2019
-4.61(-4.85~-4.37)***","1990~2019","-4.61 (-4.85~-4.37)","DALYs","Rate"
"South Asia - WB",3,"Full Range",1990,2021,-7.4,-8.68,-6.1,1,-10.852,0,"***","1990~2021
-7.40(-8.68~-6.10)***","1990~2021","-7.40 (-8.68~-6.10)","DALYs","Rate"
"South Asia - WB",3,"1990.000-1999.000",1990,1999,-4.8,-7.22,-2.33,1,-3.762,0,"***","1990~1999
-4.80(-7.22~-2.33)***","1990~1999","-4.80 (-7.22~-2.33)","DALYs","Rate"
"South Asia - WB",3,"1999.000-2009.000",1999,2009,-3.58,-4.69,-2.44,1,-6.127,0,"***","1999~2009
-3.58(-4.69~-2.44)***","1999~2009","-3.58 (-4.69~-2.44)","DALYs","Rate"
"South Asia - WB",3,"2009.000-2019.000",2009,2019,-8.69,-9.89,-7.47,1,-13.47,0,"***","2009~2019
-8.69(-9.89~-7.47)***","2009~2019","-8.69 (-9.89~-7.47)","DALYs","Rate"
"South Asia - WB",3,"2019.000-2021.000",2019,2021,-28.34,-35.3,-20.64,1,-6.791,0,"***","2019~2021
-28.34(-35.30~-20.64)***","2019~2021","-28.34 (-35.30~-20.64)","DALYs","Rate"
"South Asia - WB",3,"1990.000-2019.000",1990,2019,-5.75,-6.82,-4.66,1,-10.089,0,"***","1990~2019
-5.75(-6.82~-4.66)***","1990~2019","-5.75 (-6.82~-4.66)","DALYs","Rate"
"Sub-Saharan Africa - WB",2,"Full Range",1990,2021,-4.93,-5.63,-4.23,1,-13.46,0,"***","1990~2021
-4.93(-5.63~-4.23)***","1990~2021","-4.93 (-5.63~-4.23)","DALYs","Rate"
"Sub-Saharan Africa - WB",2,"1990.000-1999.000",1990,1999,-1.47,-2.18,-0.74,1,-4.183,0,"***","1990~1999
-1.47(-2.18~-0.74)***","1990~1999","-1.47 (-2.18~-0.74)","DALYs","Rate"
"Sub-Saharan Africa - WB",2,"1999.000-2009.000",1999,2009,-2.86,-3.17,-2.55,1,-17.849,0,"***","1999~2009
-2.86(-3.17~-2.55)***","1999~2009","-2.86 (-3.17~-2.55)","DALYs","Rate"
"Sub-Saharan Africa - WB",2,"2009.000-2019.000",2009,2019,-3.21,-3.58,-2.84,1,-17.796,0,"***","2009~2019
-3.21(-3.58~-2.84)***","2009~2019","-3.21 (-3.58~-2.84)","DALYs","Rate"
"Sub-Saharan Africa - WB",2,"2019.000-2021.000",2019,2021,-33.57,-40.38,-25.99,1,-7.811,0,"***","2019~2021
-33.57(-40.38~-25.99)***","2019~2021","-33.57 (-40.38~-25.99)","DALYs","Rate"
"Sub-Saharan Africa - WB",2,"1990.000-2019.000",1990,2019,-2.55,-2.89,-2.22,1,-14.71,0,"***","1990~2019
-2.55(-2.89~-2.22)***","1990~2019","-2.55 (-2.89~-2.22)","DALYs","Rate"
